Date,Swiss/US
1983-01-03,1.994
1983-01-04,1.989
1983-01-05,1.9575
1983-01-06,1.96
1983-01-07,1.936
1983-01-10,1.9175
1983-01-11,1.936
1983-01-12,1.946
1983-01-13,1.916
1983-01-14,1.934
1983-01-17,1.9335
1983-01-18,1.964
1983-01-19,1.976
1983-01-20,1.978
1983-01-21,1.991
1983-01-24,2.025
1983-01-25,1.9905
1983-01-26,1.9875
1983-01-27,1.988
1983-01-28,1.991
1983-01-31,2.015
1983-02-01,2.0155
1983-02-02,2.0485
1983-02-03,2.0185
1983-02-04,2.036
1983-02-07,2.019
1983-02-08,2.0185
1983-02-09,2.021
1983-02-10,2.012
1983-02-11,2.006
1983-02-14,2.0065
1983-02-15,1.9995
1983-02-16,1.9785
1983-02-17,1.9915
1983-02-18,1.997
1983-02-22,2.019
1983-02-23,2.036
1983-02-24,2.0245
1983-02-25,2.032
1983-02-28,2.0625
1983-03-01,2.0675
1983-03-02,2.0545
1983-03-03,2.0545
1983-03-04,2.043
1983-03-07,2.045
1983-03-08,2.0625
1983-03-09,2.062
1983-03-10,2.052
1983-03-11,2.072
1983-03-14,2.0635
1983-03-15,2.052
1983-03-16,2.05
1983-03-17,2.061
1983-03-18,2.067
1983-03-21,2.08
1983-03-22,2.078
1983-03-23,2.087
1983-03-24,2.071
1983-03-25,2.065
1983-03-28,2.0855
1983-03-29,2.0815
1983-03-30,2.084
1983-03-31,2.0855
1983-04-01,2.0875
1983-04-04,2.072
1983-04-05,2.0515
1983-04-06,2.045
1983-04-07,2.05
1983-04-08,2.058
1983-04-11,2.051
1983-04-12,2.0445
1983-04-13,2.056
1983-04-14,2.049
1983-04-15,2.04
1983-04-18,2.0605
1983-04-19,2.064
1983-04-20,2.073
1983-04-21,2.0635
1983-04-22,2.061
1983-04-25,2.0555
1983-04-26,2.057
1983-04-27,2.0525
1983-04-28,2.068
1983-04-29,2.073
1983-05-02,2.0685
1983-05-03,2.0678
1983-05-04,2.057
1983-05-05,2.0535
1983-05-06,2.053
1983-05-09,2.039
1983-05-10,2.042
1983-05-11,2.024
1983-05-12,2.0225
1983-05-13,2.023
1983-05-16,2.043
1983-05-17,2.048
1983-05-18,2.023
1983-05-19,2.0695
1983-05-20,2.0785
1983-05-23,2.0785
1983-05-24,2.0825
1983-05-25,2.073
1983-05-26,2.0745
1983-05-27,2.085
1983-05-31,2.096
1983-06-01,2.109
1983-06-02,2.104
1983-06-03,2.1085
1983-06-06,2.1205
1983-06-07,2.13
1983-06-08,2.1315
1983-06-09,2.129
1983-06-10,2.127
1983-06-13,2.127
1983-06-14,2.135
1983-06-15,2.1375
1983-06-16,2.1245
1983-06-17,2.1185
1983-06-20,2.105
1983-06-21,2.1105
1983-06-22,2.0815
1983-06-23,2.0845
1983-06-24,2.0865
1983-06-27,2.096
1983-06-28,2.0965
1983-06-29,2.106
1983-06-30,2.1025
1983-07-01,2.106
1983-07-05,2.129
1983-07-06,2.125
1983-07-07,2.1315
1983-07-08,2.129
1983-07-11,2.13
1983-07-12,2.117
1983-07-13,2.1125
1983-07-14,2.115
1983-07-15,2.1285
1983-07-18,2.122
1983-07-19,2.1185
1983-07-20,2.0995
1983-07-21,2.0975
1983-07-22,2.107
1983-07-25,2.115
1983-07-26,2.112
1983-07-27,2.115
1983-07-28,2.123
1983-07-29,2.1345
1983-08-01,2.155
1983-08-02,2.141
1983-08-03,2.154
1983-08-04,2.1605
1983-08-05,2.1705
1983-08-08,2.1785
1983-08-09,2.1775
1983-08-10,2.1955
1983-08-11,2.192
1983-08-12,2.1845
1983-08-15,2.1685
1983-08-16,2.1415
1983-08-17,2.141
1983-08-18,2.145
1983-08-19,2.155
1983-08-22,2.1415
1983-08-23,2.138
1983-08-24,2.1465
1983-08-25,2.146
1983-08-26,2.171
1983-08-29,2.1792
1983-08-30,2.1845
1983-08-31,2.187
1983-09-01,2.1885
1983-09-02,2.19
1983-09-06,2.1775
1983-09-07,2.181
1983-09-08,2.174
1983-09-09,2.1695
1983-09-12,2.164
1983-09-13,2.1795
1983-09-14,2.185
1983-09-15,2.178
1983-09-16,2.165
1983-09-19,2.153
1983-09-20,2.159
1983-09-21,2.161
1983-09-22,2.1715
1983-09-23,2.145
1983-09-26,2.145
1983-09-27,2.1385
1983-09-28,2.133
1983-09-29,2.1306
1983-09-30,2.12
1983-10-03,2.113
1983-10-04,2.1175
1983-10-05,2.1015
1983-10-06,2.0945
1983-10-07,2.087
1983-10-11,2.1035
1983-10-12,2.123
1983-10-13,2.1155
1983-10-14,2.121
1983-10-17,2.1103
1983-10-18,2.098
1983-10-19,2.0995
1983-10-20,2.104
1983-10-21,2.101
1983-10-24,2.1208
1983-10-25,2.1145
1983-10-26,2.123
1983-10-27,2.1245
1983-10-28,2.1295
1983-10-31,2.143
1983-11-01,2.1615
1983-11-02,2.1505
1983-11-03,2.158
1983-11-04,2.17
1983-11-07,2.177
1983-11-09,2.1675
1983-11-10,2.152
1983-11-14,2.163
1983-11-15,2.1634
1983-11-16,2.1665
1983-11-17,2.183
1983-11-18,2.1865
1983-11-21,2.183
1983-11-22,2.1695
1983-11-23,2.179
1983-11-25,2.1815
1983-11-28,2.177
1983-11-29,2.1815
1983-11-30,2.1615
1983-12-01,2.163
1983-12-02,2.174
1983-12-05,2.19
1983-12-06,2.1865
1983-12-07,2.1905
1983-12-08,2.194
1983-12-09,2.2115
1983-12-12,2.212
1983-12-13,2.22
1983-12-14,2.2125
1983-12-15,2.2135
1983-12-16,2.216
1983-12-19,2.2115
1983-12-20,2.208
1983-12-21,2.2105
1983-12-22,2.2115
1983-12-23,2.198
1983-12-27,2.19
1983-12-28,2.189
1983-12-29,2.184
1983-12-30,2.179
1984-01-03,2.2165
1984-01-04,2.233
1984-01-05,2.2315
1984-01-06,2.2383
1984-01-09,2.252
1984-01-10,2.2355
1984-01-11,2.253
1984-01-12,2.25
1984-01-13,2.2275
1984-01-16,2.222
1984-01-17,2.2365
1984-01-18,2.2325
1984-01-19,2.223
1984-01-20,2.2405
1984-01-23,2.237
1984-01-24,2.247
1984-01-25,2.244
1984-01-26,2.2383
1984-01-27,2.246
1984-01-30,2.2415
1984-01-31,2.253
1984-02-01,2.235
1984-02-02,2.2175
1984-02-03,2.197
1984-02-06,2.213
1984-02-07,2.235
1984-02-08,2.2295
1984-02-09,2.2275
1984-02-10,2.24
1984-02-14,2.223
1984-02-15,2.197
1984-02-16,2.1925
1984-02-17,2.1945
1984-02-21,2.2205
1984-02-22,2.194
1984-02-23,2.193
1984-02-24,2.174
1984-02-27,2.178
1984-02-28,2.1665
1984-02-29,2.168
1984-03-01,2.176
1984-03-02,2.1545
1984-03-05,2.128
1984-03-06,2.1095
1984-03-07,2.116
1984-03-08,2.136
1984-03-09,2.134
1984-03-12,2.153
1984-03-13,2.126
1984-03-14,2.128
1984-03-15,2.143
1984-03-16,2.156
1984-03-19,2.163
1984-03-20,2.167
1984-03-21,2.1767
1984-03-22,2.175
1984-03-23,2.172
1984-03-26,2.157
1984-03-27,2.1522
1984-03-28,2.158
1984-03-29,2.144
1984-03-30,2.1525
1984-04-02,2.1535
1984-04-03,2.1675
1984-04-04,2.1715
1984-04-05,2.181
1984-04-06,2.175
1984-04-09,2.176
1984-04-10,2.1695
1984-04-11,2.1655
1984-04-12,2.1715
1984-04-13,2.1765
1984-04-16,2.1868
1984-04-17,2.193
1984-04-18,2.1903
1984-04-19,2.202
1984-04-20,2.202
1984-04-23,2.196
1984-04-24,2.2175
1984-04-25,2.216
1984-04-26,2.2262
1984-04-27,2.2345
1984-04-30,2.2465
1984-05-01,2.2448
1984-05-02,2.2477
1984-05-03,2.242
1984-05-04,2.2505
1984-05-07,2.282
1984-05-08,2.282
1984-05-09,2.28
1984-05-10,2.288
1984-05-11,2.2902
1984-05-14,2.28
1984-05-15,2.2715
1984-05-16,2.268
1984-05-17,2.2735
1984-05-18,2.281
1984-05-21,2.2695
1984-05-22,2.267
1984-05-23,2.2775
1984-05-24,2.268
1984-05-25,2.249
1984-05-29,2.259
1984-05-30,2.265
1984-05-31,2.26
1984-06-01,2.2295
1984-06-04,2.226
1984-06-05,2.2345
1984-06-06,2.2335
1984-06-07,2.245
1984-06-08,2.249
1984-06-11,2.267
1984-06-12,2.2787
1984-06-13,2.271
1984-06-14,2.272
1984-06-15,2.2805
1984-06-18,2.293
1984-06-19,2.288
1984-06-20,2.306
1984-06-21,2.313
1984-06-22,2.3135
1984-06-25,2.336
1984-06-26,2.322
1984-06-27,2.332
1984-06-28,2.327
1984-06-29,2.331
1984-07-02,2.3425
1984-07-03,2.3645
1984-07-05,2.374
1984-07-06,2.387
1984-07-09,2.392
1984-07-10,2.3835
1984-07-11,2.403
1984-07-12,2.4085
1984-07-13,2.4
1984-07-16,2.387
1984-07-17,2.4075
1984-07-18,2.4215
1984-07-19,2.4075
1984-07-20,2.423
1984-07-23,2.44
1984-07-24,2.4402
1984-07-25,2.434
1984-07-26,2.4275
1984-07-27,2.462
1984-07-30,2.4635
1984-07-31,2.4725
1984-08-01,2.465
1984-08-02,2.451
1984-08-03,2.404
1984-08-06,2.4205
1984-08-07,2.455
1984-08-08,2.445
1984-08-09,2.4415
1984-08-10,2.4425
1984-08-13,2.4505
1984-08-14,2.4215
1984-08-15,2.4115
1984-08-16,2.3755
1984-08-17,2.3835
1984-08-20,2.396
1984-08-21,2.409
1984-08-22,2.4005
1984-08-23,2.384
1984-08-24,2.393
1984-08-27,2.4005
1984-08-28,2.3925
1984-08-29,2.391
1984-08-30,2.4015
1984-08-31,2.4095
1984-09-04,2.4475
1984-09-05,2.464
1984-09-06,2.4615
1984-09-07,2.487
1984-09-10,2.492
1984-09-11,2.499
1984-09-12,2.49
1984-09-13,2.513
1984-09-14,2.505
1984-09-17,2.5275
1984-09-18,2.543
1984-09-19,2.5345
1984-09-20,2.557
1984-09-21,2.5125
1984-09-24,2.492
1984-09-25,2.5225
1984-09-26,2.508
1984-09-27,2.505
1984-09-28,2.533
1984-10-01,2.523
1984-10-02,2.5095
1984-10-03,2.495
1984-10-04,2.508
1984-10-05,2.521
1984-10-09,2.543
1984-10-10,2.5375
1984-10-11,2.547
1984-10-12,2.562
1984-10-15,2.572
1984-10-16,2.569
1984-10-17,2.558
1984-10-18,2.554
1984-10-19,2.5335
1984-10-22,2.529
1984-10-23,2.5045
1984-10-24,2.485
1984-10-25,2.475
1984-10-26,2.492
1984-10-29,2.521
1984-10-30,2.5065
1984-10-31,2.494
1984-11-01,2.458
1984-11-02,2.426
1984-11-05,2.41
1984-11-07,2.417
1984-11-08,2.415
1984-11-09,2.426
1984-11-13,2.414
1984-11-14,2.45
1984-11-15,2.4415
1984-11-16,2.453
1984-11-19,2.474
1984-11-20,2.49
1984-11-21,2.502
1984-11-23,2.5015
1984-11-26,2.525
1984-11-27,2.523
1984-11-28,2.521
1984-11-29,2.5285
1984-11-30,2.555
1984-12-03,2.5655
1984-12-04,2.53
1984-12-05,2.545
1984-12-06,2.526
1984-12-07,2.544
1984-12-10,2.5535
1984-12-11,2.551
1984-12-12,2.555
1984-12-13,2.562
1984-12-14,2.545
1984-12-17,2.55
1984-12-18,2.5435
1984-12-19,2.558
1984-12-20,2.5715
1984-12-21,2.567
1984-12-24,2.57
1984-12-26,2.576
1984-12-27,2.599
1984-12-28,2.591
1984-12-31,2.601
1985-01-02,2.617
1985-01-03,2.6215
1985-01-04,2.634
1985-01-07,2.6475
1985-01-08,2.6365
1985-01-09,2.652
1985-01-10,2.636
1985-01-11,2.645
1985-01-14,2.677
1985-01-15,2.6805
1985-01-16,2.6765
1985-01-17,2.679
1985-01-18,2.6815
1985-01-22,2.672
1985-01-23,2.6835
1985-01-24,2.6565
1985-01-25,2.6635
1985-01-28,2.6625
1985-01-29,2.667
1985-01-30,2.676
1985-01-31,2.675
1985-02-01,2.7045
1985-02-04,2.7395
1985-02-05,2.7415
1985-02-06,2.7375
1985-02-07,2.76
1985-02-08,2.775
1985-02-11,2.795
1985-02-13,2.812
1985-02-14,2.7985
1985-02-15,2.777
1985-02-19,2.811
1985-02-20,2.823
1985-02-21,2.828
1985-02-22,2.858
1985-02-25,2.917
1985-02-26,2.906
1985-02-27,2.84
1985-02-28,2.857
1985-03-01,2.861
1985-03-04,2.893
1985-03-05,2.9245
1985-03-06,2.898
1985-03-07,2.901
1985-03-08,2.903
1985-03-11,2.849
1985-03-12,2.84
1985-03-13,2.85
1985-03-14,2.88
1985-03-15,2.876
1985-03-18,2.843
1985-03-19,2.7825
1985-03-20,2.755
1985-03-21,2.72
1985-03-22,2.731
1985-03-25,2.742
1985-03-26,2.72
1985-03-27,2.65
1985-03-28,2.65
1985-03-29,2.6
1985-04-01,2.639
1985-04-02,2.66
1985-04-03,2.642
1985-04-04,2.689
1985-04-05,2.675
1985-04-08,2.666
1985-04-09,2.653
1985-04-10,2.653
1985-04-11,2.593
1985-04-12,2.569
1985-04-15,2.529
1985-04-16,2.529
1985-04-17,2.531
1985-04-18,2.48
1985-04-19,2.4765
1985-04-22,2.503
1985-04-23,2.557
1985-04-24,2.595
1985-04-25,2.6215
1985-04-26,2.612
1985-04-29,2.613
1985-04-30,2.6
1985-05-01,2.64
1985-05-02,2.66
1985-05-03,2.711
1985-05-06,2.706
1985-05-07,2.663
1985-05-08,2.686
1985-05-09,2.616
1985-05-10,2.63
1985-05-13,2.584
1985-05-14,2.567
1985-05-15,2.581
1985-05-16,2.591
1985-05-17,2.582
1985-05-20,2.567
1985-05-21,2.582
1985-05-22,2.588
1985-05-23,2.586
1985-05-24,2.608
1985-05-28,2.6175
1985-05-29,2.59
1985-05-30,2.599
1985-05-31,2.575
1985-06-03,2.561
1985-06-04,2.571
1985-06-05,2.584
1985-06-06,2.572
1985-06-07,2.598
1985-06-10,2.613
1985-06-11,2.599
1985-06-12,2.601
1985-06-13,2.61
1985-06-14,2.573
1985-06-17,2.5745
1985-06-18,2.539
1985-06-19,2.53
1985-06-20,2.575
1985-06-21,2.565
1985-06-24,2.566
1985-06-25,2.571
1985-06-26,2.535
1985-06-27,2.564
1985-06-28,2.541
